"path","folderId","url"
"Resource Center","12d2zXtY_ii5ao8zhCd4hqMjW_aPjnM_W","https://drive.google.com/drive/folders/12d2zXtY_ii5ao8zhCd4hqMjW_aPjnM_W"
"Resource Center/Management","1UY6ZwiZK8-RRUYsiHyae1FoGDFmfPvcW","https://drive.google.com/drive/folders/1UY6ZwiZK8-RRUYsiHyae1FoGDFmfPvcW"
"Resource Center/Management/Compensation","1YFvb75qOHuWn9Eh4zvv0A2AkHz1jwR30","https://drive.google.com/drive/folders/1YFvb75qOHuWn9Eh4zvv0A2AkHz1jwR30"
"Resource Center/Management/Carrier Forms","1_UfPLAhZ3kTN4P4f1MXN0SpUJrdXYd8q","https://drive.google.com/drive/folders/1_UfPLAhZ3kTN4P4f1MXN0SpUJrdXYd8q"
"Resource Center/CRM","1Y4CCdpooLCAmkd1dLnwqJyULYNIdK9wJ","https://drive.google.com/drive/folders/1Y4CCdpooLCAmkd1dLnwqJyULYNIdK9wJ"
"Resource Center/ARCHIVES","1zD-6QfE4dIkUmx1HyRblFYhgZsTA2qbA","https://drive.google.com/drive/folders/1zD-6QfE4dIkUmx1HyRblFYhgZsTA2qbA"
"Resource Center/ARCHIVES/PY 2025","19kSU_EgP3Yohj2baZRS5VfXSQI62MJSj","https://drive.google.com/drive/folders/19kSU_EgP3Yohj2baZRS5VfXSQI62MJSj"
"Resource Center/ARCHIVES/PY 2025/Aetna","1bFg9bsKFzsoutxMryiHYcpo5A5TG5No3","https://drive.google.com/drive/folders/1bFg9bsKFzsoutxMryiHYcpo5A5TG5No3"
"Resource Center/ARCHIVES/PY 2025/Aetna/Contact Info","1XJroUa6O7Ezk9p6raw0nG9ZeCIT3p3Zc","https://drive.google.com/drive/folders/1XJroUa6O7Ezk9p6raw0nG9ZeCIT3p3Zc"
"Resource Center/ARCHIVES/PY 2025/Aetna/PY Materials","1XXgeOY6pBMqRbrTn69wykm_3-HUDI6W4","https://drive.google.com/drive/folders/1XXgeOY6pBMqRbrTn69wykm_3-HUDI6W4"
"Resource Center/ARCHIVES/PY 2025/Aetna/Commission","1HklNzZQYCUOmtfpaVuh4MVOL9xPV5OYV","https://drive.google.com/drive/folders/1HklNzZQYCUOmtfpaVuh4MVOL9xPV5OYV"
"Resource Center/ARCHIVES/PY 2025/WIP_FACTFINDER","1-1cid-DVI00JVn3c1BCAXfmGEKkw3E78","https://drive.google.com/drive/folders/1-1cid-DVI00JVn3c1BCAXfmGEKkw3E78"
"Resource Center/ARCHIVES/PY 2025/(5) MAY 2025","1ktcPqeGiPJDiTJmxo4A7nkgdsWA3Ju_U","https://drive.google.com/drive/folders/1ktcPqeGiPJDiTJmxo4A7nkgdsWA3Ju_U"
"Resource Center/ARCHIVES/PY 2025/(5) MAY 2025/05 12 2025","1dQoVf1ZOtdQOs_dPdR_VYQ8hlKqbGbnC","https://drive.google.com/drive/folders/1dQoVf1ZOtdQOs_dPdR_VYQ8hlKqbGbnC"
"Resource Center/ARCHIVES/PY 2025/(5) MAY 2025/05 19 2025","10jTH2My3IKIB2ZHDuKBCPucGfY0zTEFP","https://drive.google.com/drive/folders/10jTH2My3IKIB2ZHDuKBCPucGfY0zTEFP"
"Resource Center/ARCHIVES/PY 2025/(5) MAY 2025/05 05 2025","1ddJdb3bOY2YQJFlm7Mxaz29FIqt5Bxu2","https://drive.google.com/drive/folders/1ddJdb3bOY2YQJFlm7Mxaz29FIqt5Bxu2"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025","1gdoSwHVf22pSALhpBOE8vXf_q9PZPf4Y","https://drive.google.com/drive/folders/1gdoSwHVf22pSALhpBOE8vXf_q9PZPf4Y"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025/06 23 2025","1IBdHbvQc6YQOOMaNNNhY8LJazhGznhl2","https://drive.google.com/drive/folders/1IBdHbvQc6YQOOMaNNNhY8LJazhGznhl2"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025/06 09 2025","1tR-SpFflvQG2hXvufv-5jzPr6C2dUt4v","https://drive.google.com/drive/folders/1tR-SpFflvQG2hXvufv-5jzPr6C2dUt4v"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025/06 30 2025","1Jz44qIcUqgzk8EdLJbvAlCFEMNLofa0i","https://drive.google.com/drive/folders/1Jz44qIcUqgzk8EdLJbvAlCFEMNLofa0i"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025/06 02 2025","10FaYW3-6GvG4TuvlGMYEi3NMywcbxGJT","https://drive.google.com/drive/folders/10FaYW3-6GvG4TuvlGMYEi3NMywcbxGJT"
"Resource Center/ARCHIVES/PY 2025/(6) JUNE 2025/06 16 2025","1d24cWN95dzsb_FyXNKd6nNfgoanb3jV5","https://drive.google.com/drive/folders/1d24cWN95dzsb_FyXNKd6nNfgoanb3jV5"
"Resource Center/ARCHIVES/PY 2025/(7) JULY 2025","11pUfWaEtVYn5jGFzflTA_LK5DqQUIfmk","https://drive.google.com/drive/folders/11pUfWaEtVYn5jGFzflTA_LK5DqQUIfmk"
"Resource Center/ARCHIVES/PY 2025/(7) JULY 2025/07 21 2025","1T-yS1-Vu4UoVUWt51AAoy6FQCEwp85s7","https://drive.google.com/drive/folders/1T-yS1-Vu4UoVUWt51AAoy6FQCEwp85s7"
"Resource Center/ARCHIVES/PY 2025/(7) JULY 2025/07 14 2025","14fnx-F8By-sGLCMNLG5N9P0e9GKKORMJ","https://drive.google.com/drive/folders/14fnx-F8By-sGLCMNLG5N9P0e9GKKORMJ"
"Resource Center/ARCHIVES/PY 2025/(7) JULY 2025/07 28 2025","1CetJ2TEO6WRSsXXo0CGbSYL-DjoOezwZ","https://drive.google.com/drive/folders/1CetJ2TEO6WRSsXXo0CGbSYL-DjoOezwZ"
"Resource Center/ARCHIVES/PY 2025/(7) JULY 2025/07 07 2025","1LCqleuwJ6Ahm-cU-q4zXZm0J3cFiMkqO","https://drive.google.com/drive/folders/1LCqleuwJ6Ahm-cU-q4zXZm0J3cFiMkqO"
"Resource Center/ARCHIVES/PY 2022","1BlQ-5c34Y8ZNBiBeEFpzz4FeqAUPnFSB","https://drive.google.com/drive/folders/1BlQ-5c34Y8ZNBiBeEFpzz4FeqAUPnFSB"
"Resource Center/ARCHIVES/PY 2024","1NNvvlmAckYcDnqsaE9QUUNvaqaBvAYYz","https://drive.google.com/drive/folders/1NNvvlmAckYcDnqsaE9QUUNvaqaBvAYYz"
"Resource Center/ARCHIVES/PY 2024/Five Point Training","1Ulk8AgD6E0_qP-T4L3QD9hhtwFF_wQoM","https://drive.google.com/drive/folders/1Ulk8AgD6E0_qP-T4L3QD9hhtwFF_wQoM"
"Resource Center/ARCHIVES/PY 2023","1tB-wqggj6UzeHg_Poj1GQDRxpWknYhWO","https://drive.google.com/drive/folders/1tB-wqggj6UzeHg_Poj1GQDRxpWknYhWO"
"Resource Center/- Corporate_","1ccDhs085Z-ojiNWYEl8ObVnIf8Uhq9Jv","https://drive.google.com/drive/folders/1ccDhs085Z-ojiNWYEl8ObVnIf8Uhq9Jv"
"Resource Center/- Corporate_/TRAINING","1s_KqBEFGrsAFxMVRSNvPvWEaeEre8U1B","https://drive.google.com/drive/folders/1s_KqBEFGrsAFxMVRSNvPvWEaeEre8U1B"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)","1iZ7XH00RNnEhhGjJQMXODGxqnEuFrouI","https://drive.google.com/drive/folders/1iZ7XH00RNnEhhGjJQMXODGxqnEuFrouI"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/5 Point Training","1Ldyk4X9TVD_7VrSRzbRGKoGnb22YS7jJ","https://drive.google.com/drive/folders/1Ldyk4X9TVD_7VrSRzbRGKoGnb22YS7jJ"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/5 Point Training/Overview","171Bkpbrl0jTthyfOIf1l8V7CqLFcpho4","https://drive.google.com/drive/folders/171Bkpbrl0jTthyfOIf1l8V7CqLFcpho4"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/5 Point Training/ACA U65","1zHu6hahTSYFaQQSUOS4gy9fQBzBNVSCC","https://drive.google.com/drive/folders/1zHu6hahTSYFaQQSUOS4gy9fQBzBNVSCC"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/5 Point Training/ACA U65/Curriculm","1bklwtnVeqQsfRmqEozO3riYyt7hXKrJU","https://drive.google.com/drive/folders/1bklwtnVeqQsfRmqEozO3riYyt7hXKrJU"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/5 Point Training/ACA U65/ACA U65 PLAN DESIGN ANOTOMY_APTC~CSR","1VQz12vBN1GcU6VcOJGLnIYQRjKlrKQjZ","https://drive.google.com/drive/folders/1VQz12vBN1GcU6VcOJGLnIYQRjKlrKQjZ"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/Tools & Giveouts","1N26HU8L0LmSc4BQvbT2S95BLUUuN2m-M","https://drive.google.com/drive/folders/1N26HU8L0LmSc4BQvbT2S95BLUUuN2m-M"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/Tools & Giveouts/PY2025","1akigsKPMgFhzs3w6XEHhLuYfyvYkkILH","https://drive.google.com/drive/folders/1akigsKPMgFhzs3w6XEHhLuYfyvYkkILH"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/OEP 2026 Readiness Content","1OE8rFtfFsvqxnNsb8ZVsRQE-_0FcDETj","https://drive.google.com/drive/folders/1OE8rFtfFsvqxnNsb8ZVsRQE-_0FcDETj"
"Resource Center/- Corporate_/TRAINING/5-POINT TRAINING (ONBOARDED)/OEP 2026 Readiness Content/NEW","1C5wxfjn-PW1dMkNxn53EzgmHktDSHO4Q","https://drive.google.com/drive/folders/1C5wxfjn-PW1dMkNxn53EzgmHktDSHO4Q"
"Resource Center/- Corporate_/Marketing","1zosuhm7Dyi-w-tmuuQLUKQcbUvw8sl4l","https://drive.google.com/drive/folders/1zosuhm7Dyi-w-tmuuQLUKQcbUvw8sl4l"
"Resource Center/Support & Training","1_4B1oqtOJ37mP4-qUMm6P7YynzXVJF-L","https://drive.google.com/drive/folders/1_4B1oqtOJ37mP4-qUMm6P7YynzXVJF-L"
"Resource Center/Support & Training/Voluntary & Ancillary","1caMDyuMgwAclybVaAC_JlbTFf5M_bv7q","https://drive.google.com/drive/folders/1caMDyuMgwAclybVaAC_JlbTFf5M_bv7q"
"Resource Center/Support & Training/ACA","1icKvAHlFXDfYwNzAvfa1OwGKAmtv6enW","https://drive.google.com/drive/folders/1icKvAHlFXDfYwNzAvfa1OwGKAmtv6enW"
"Resource Center/Support & Training/Life Insurance & Related_","1ylyBg4XPBVFPDURUZ7eM6yDKPV-7fPWb","https://drive.google.com/drive/folders/1ylyBg4XPBVFPDURUZ7eM6yDKPV-7fPWb"
"Resource Center/Support & Training/SEG","1ZqizzTUUY6XPaGISkktcZoTOH_ORn0L5","https://drive.google.com/drive/folders/1ZqizzTUUY6XPaGISkktcZoTOH_ORn0L5"
"Resource Center/Support & Training/SEG/SelectHealth","1D4AOmFHJXcZCDU2JFK64fbAPhms2Ya4a","https://drive.google.com/drive/folders/1D4AOmFHJXcZCDU2JFK64fbAPhms2Ya4a"
"Resource Center/Support & Training/SEG/SilverPeak","1J2EpylOdpGw0nleoozTBa5_O0KcNE6gq","https://drive.google.com/drive/folders/1J2EpylOdpGw0nleoozTBa5_O0KcNE6gq"
"Resource Center/Support & Training/SEG/Optimyl","1mN29dIt9DCIT5doAnOZivpll4POgmMle","https://drive.google.com/drive/folders/1mN29dIt9DCIT5doAnOZivpll4POgmMle"
"Resource Center/Support & Training/SEG/HPN","1_zERs2XOM_0RqAebo_yiDdPxs1CLY7f8","https://drive.google.com/drive/folders/1_zERs2XOM_0RqAebo_yiDdPxs1CLY7f8"
"Resource Center/Support & Training/SEG/BASE","1irQG_5oBd3SkOwC-J-AUxV1lvIn-3uzl","https://drive.google.com/drive/folders/1irQG_5oBd3SkOwC-J-AUxV1lvIn-3uzl"
"Resource Center/Support & Training/SEG/Anthem","16CI9DFmt-y0Civ2DSRiTtk6UBtDhCogu","https://drive.google.com/drive/folders/16CI9DFmt-y0Civ2DSRiTtk6UBtDhCogu"
"Resource Center/Support & Training/SEG/APL","1RQyUhZoSuLs-LNVnQKlsKxkzuDpVqpfk","https://drive.google.com/drive/folders/1RQyUhZoSuLs-LNVnQKlsKxkzuDpVqpfk"
"Resource Center/Directory","13ARlflNXE2Cjlytbhko10K5iQFouaWJH","https://drive.google.com/drive/folders/13ARlflNXE2Cjlytbhko10K5iQFouaWJH"
"Resource Center/Directory/Life Insurance & Related_","18KJhhOnQpQJtwxWNRvsnByHHi4wEG6DG","https://drive.google.com/drive/folders/18KJhhOnQpQJtwxWNRvsnByHHi4wEG6DG"
"Resource Center/Directory/Life Insurance & Related_/TransAmerica","1YX3yeDhg1NXKQeOXGI2EZnOtsiUvj7zX","https://drive.google.com/drive/folders/1YX3yeDhg1NXKQeOXGI2EZnOtsiUvj7zX"
"Resource Center/Directory/Life Insurance & Related_/Plum","1S4Pn52RlfRHWiHDrYl15HmRA4X40vk_x","https://drive.google.com/drive/folders/1S4Pn52RlfRHWiHDrYl15HmRA4X40vk_x"
"Resource Center/Directory/Life Insurance & Related_/SBLI","17drHwyt4sRhiYgFrVwuQSXPFloB5qIWw","https://drive.google.com/drive/folders/17drHwyt4sRhiYgFrVwuQSXPFloB5qIWw"
