"path","name","fileId","mimeType","shareUrl"
"Resource Center/Management/Compensation","CareSource Assignment of Commissions.pdf","1vLc0Vvou6ozPUb9plT2bgihVMTWvkyl6","application/pdf","https://drive.google.com/file/d/1vLc0Vvou6ozPUb9plT2bgihVMTWvkyl6/view?usp=drivesdk"
"Resource Center/CRM","PH CRM Setup Guide.pdf","1lhts4GiMVZue-geCnUBNwAMxzlRYo0-7","application/pdf","https://drive.google.com/file/d/1lhts4GiMVZue-geCnUBNwAMxzlRYo0-7/view?usp=drivesdk"
"Resource Center/CRM","CRM - How to Set Up Calendars.mp4","1W81R93lq7iiKdWJlTorS43-MWqWZ7EdL","video/mp4","https://drive.google.com/file/d/1W81R93lq7iiKdWJlTorS43-MWqWZ7EdL/view?usp=drivesdk"
"Resource Center/CRM","CRM - How to add Clients.mp4","1qjlScbaa2eT7nJ7WzmbnAyxOQZ0jaSAh","video/mp4","https://drive.google.com/file/d/1qjlScbaa2eT7nJ7WzmbnAyxOQZ0jaSAh/view?usp=drivesdk"
"Resource Center/CRM","CRM - How to Get Started.mp4","18aaqqyNofoMlXwpx3PWdHk46gIWbhCKr","video/mp4","https://drive.google.com/file/d/18aaqqyNofoMlXwpx3PWdHk46gIWbhCKr/view?usp=drivesdk"
"Resource Center/CRM","07_30_2025 - CRM Training_.mp4","19J40fgSQHh8EmvwN6PRFOwyMt0uAgABX","video/mp4","https://drive.google.com/file/d/19J40fgSQHh8EmvwN6PRFOwyMt0uAgABX/view?usp=drivesdk"
"Resource Center/CRM","07_09_2025 - CRM Training.mp4","1WX3oBPQOvMaqJ_6WyFYCWewHNKvqhMpe","video/mp4","https://drive.google.com/file/d/1WX3oBPQOvMaqJ_6WyFYCWewHNKvqhMpe/view?usp=drivesdk"
"Resource Center/CRM","04_29_2025 - CRM Launch.mp4","1FioN8xC6k1MVm_HKe3Ek46i_qqmzFiZ4","video/mp4","https://drive.google.com/file/d/1FioN8xC6k1MVm_HKe3Ek46i_qqmzFiZ4/view?usp=drivesdk"
"Resource Center/CRM","CRM Setup - 2025_06_11 12_51 PDT - Recording.mp4","1ko7gAC2QxFmRJn0dsJ_vwZz11JaeSemv","video/mp4","https://drive.google.com/file/d/1ko7gAC2QxFmRJn0dsJ_vwZz11JaeSemv/view?usp=drivesdk"
"Resource Center/CRM","CRM Setup - 2025_06_04 12_52 PDT - Recording.mp4","1zVJhW1kF4wMd-FAebWU7xjnFJs-FZ1_d","video/mp4","https://drive.google.com/file/d/1zVJhW1kF4wMd-FAebWU7xjnFJs-FZ1_d/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","Broker Referral Program Flyer.pdf","145W9jJd2jp32JiuG1CEVDBzG-BCT7T1Y","application/pdf","https://drive.google.com/file/d/145W9jJd2jp32JiuG1CEVDBzG-BCT7T1Y/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","Silver Peak LifeX Study Guide.docx","1rkaZU90q2FqbyKi0TqLbJe5YUaUzF1cu","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1rkaZU90q2FqbyKi0TqLbJe5YUaUzF1cu/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","_TRAINING_ ACA _ Under-65 - 2025_06_03 10_09 PDT - Notes by Gemini.docx","1una1vu1MTniAPT4UsaMxtVXVQC41sW1I","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1una1vu1MTniAPT4UsaMxtVXVQC41sW1I/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","Meeting started 2025_05_22 10_06 PDT - Notes by Gemini.docx","1flFkjPZYGyTA9M14B2JGReI6llCbK3hZ","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1flFkjPZYGyTA9M14B2JGReI6llCbK3hZ/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","_TRAINING_ ACA _ Under-65 - 2025_05_06 09_49 PDT - Notes by Gemini.docx","1WMT7RwmUcWsFOXqeaxPIgUgdTM7G1m2_","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1WMT7RwmUcWsFOXqeaxPIgUgdTM7G1m2_/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","TRAINING SESSION-SilverPeak by PH (Clearwater) - 2025_03_14 11_42 PDT - Notes by Gemini.docx","1c_eTAszetjrXhNTb-_Kr_ncGUti0ie5x","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1c_eTAszetjrXhNTb-_Kr_ncGUti0ie5x/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","TRAINING SESSION-SilverPeak by PH (Clearwater) - 2025_03_13 11_53 PDT - Notes by Gemini.docx","1gu63oY4wNM2-fpIo9FsUDu_Yuw5hPqPO","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1gu63oY4wNM2-fpIo9FsUDu_Yuw5hPqPO/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","TRAINING SESSION-SilverPeak by PH (Clearwater) - 2025_03_12 11_55 PDT - Notes by Gemini.docx","1bLXa3dVdhOLhY8c7LBXXjQhq5zXJUeJe","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1bLXa3dVdhOLhY8c7LBXXjQhq5zXJUeJe/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","GigCare Exam Answers Key.pdf","1SFdAyNVcsa9AWxUmKbWBtlza8irA32BS","application/pdf","https://drive.google.com/file/d/1SFdAyNVcsa9AWxUmKbWBtlza8irA32BS/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","GigCare-Summary-Of-Benefits-5-Plans-Chart.pdf","1ACujKfEPa-h4b9RS0J7vGnFJWeG1SoQj","application/pdf","https://drive.google.com/file/d/1ACujKfEPa-h4b9RS0J7vGnFJWeG1SoQj/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","GigCare-Summary-Of-Benefits-5-Plans-Chart.docx","1-yqSbA_NY5MmQwC-cGkeo-cebrhnz8x6","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1-yqSbA_NY5MmQwC-cGkeo-cebrhnz8x6/edit?usp=drivesdk&ouid=101956724998028410123&rtpof=true&sd=true"
"Resource Center/ARCHIVES/PY 2025","$7350 Copay SBC for 2025.pdf","1eQu6QUjPL4CREi8tPTsgivy-kCuqBBPE","application/pdf","https://drive.google.com/file/d/1eQu6QUjPL4CREi8tPTsgivy-kCuqBBPE/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","$5000 HSA SBC for 2025.pdf","10Z1wVNlzNafJaI4GoRVXzHuHenPBAR8O","application/pdf","https://drive.google.com/file/d/10Z1wVNlzNafJaI4GoRVXzHuHenPBAR8O/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","$5000 Copay SBC for 2025.pdf","16et9GDwbncyQWcFS5WeeQSdbzpFaYdoX","application/pdf","https://drive.google.com/file/d/16et9GDwbncyQWcFS5WeeQSdbzpFaYdoX/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","$2500 Copay SBC for 2025.pdf","1AOn8UJeaULUwjUFSWS70AMBb-xZlc4AF","application/pdf","https://drive.google.com/file/d/1AOn8UJeaULUwjUFSWS70AMBb-xZlc4AF/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","$1500 Copay SBC for 2025.pdf","1DY5NV2IHqG1XhIJBPWJbNbSjoujcx5pm","application/pdf","https://drive.google.com/file/d/1DY5NV2IHqG1XhIJBPWJbNbSjoujcx5pm/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","CHC New Agent Licensing Paperwork.pdf","12-HQyDSZAdmcwoqYaEqYlkLttQce9Gug","application/pdf","https://drive.google.com/file/d/12-HQyDSZAdmcwoqYaEqYlkLttQce9Gug/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","AC-11-Health-Disclosure-Questions.pdf","1JplqrEvWwP469ZmQtNAyM-YoagXTDucG","application/pdf","https://drive.google.com/file/d/1JplqrEvWwP469ZmQtNAyM-YoagXTDucG/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","2025 GigCare Rates.pdf","1KiTljPYdlzpllBcEiqUjnCvbjZqZhuKY","application/pdf","https://drive.google.com/file/d/1KiTljPYdlzpllBcEiqUjnCvbjZqZhuKY/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","2025 Provider and Formulary QuickLink.pdf","1K_ob0r8rvORWtxTKxh9JUc39ObwzIQ44","application/pdf","https://drive.google.com/file/d/1K_ob0r8rvORWtxTKxh9JUc39ObwzIQ44/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025","2025 Application Entry and Lead Form Final.pdf","1hIwmJ53WdUVkbjLrz3NXOYH_seS3Yk6-","application/pdf","https://drive.google.com/file/d/1hIwmJ53WdUVkbjLrz3NXOYH_seS3Yk6-/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025/Aetna","2025 Provider and Formulary QuickLink.pdf","1kRlFYg6OvdpKOKlRa1G-9qss1mL8NCZE","application/pdf","https://drive.google.com/file/d/1kRlFYg6OvdpKOKlRa1G-9qss1mL8NCZE/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025/Aetna/PY Materials","RX FILL INFO.pdf","1b5kubpbC8dV4TG-peLsSVl_FGmx1WHzR","application/pdf","https://drive.google.com/file/d/1b5kubpbC8dV4TG-peLsSVl_FGmx1WHzR/view?usp=drivesdk"
"Resource Center/ARCHIVES/PY 2025/Aetna/PY Materials","PRODUCER WORLD BROKER MATERIAL + MARKETING MATERIAL INFO.pdf","11sDj8LFcP3nPfHXqZBiX_TwN7IlnbQIQ","application/pdf","https://drive.google.com/file/d/11sDj8LFcP3nPfHXqZBiX_TwN7IlnbQIQ/view?usp=drivesdk"
